Country Name,Score,Death Toll Avg., Death Toll Rank, Deaths per 100000 Avg., Deaths per 100000 Rank, Loss in $ Avg., Loss in $ Rank, Loss in % Avg., Loss in % Rank
Maldives,174.00,0.00,173,0.00,173,0.02,177,0.001,174
Mali,117.17,3.35,117,0.03,150,17.97,122,0.158,82
Malta,144.83,0.15,162,0.04,139,2.98,153,0.036,138
Mauritania,77.50,3.95,113,0.15,82,28.03,112,0.555,38
Mauritius,103.17,0.65,148,0.05,125,35.80,107,0.292,57
Mexico,57.67,140.80,24,0.14,84,2377.35,6,0.194,74
Moldova,56.17,5.90,97,0.16,81,183.99,52,1.855,13
Mongolia,31.33,12.85,73,0.52,34,327.38,37,3.678,5
Morocco,86.67,31.50,61,0.11,96,111.86,69,0.108,99
Mozambique,40.17,88.20,30,0.47,39,102.26,71,0.800,31
Myanmar,11.83,7135.90,1,13.51,1,617.79,28,1.199,20
Namibia,65.50,11.25,77,0.60,27,21.14,120,0.200,71
Nepal,35.00,293.85,16,1.16,14,97.54,74,0.381,46
Netherlands,74.33,84.65,32,0.53,32,151.08,60,0.028,145
New Zealand,83.33,3.40,116,0.08,107,224.68,44,0.233,63
Nicaragua,17.17,160.45,20,2.81,4,224.61,45,1.740,15
Niger,76.33,12.05,75,0.10,97,37.50,105,0.484,42
Nigeria,102.50,73.95,39,0.06,120,123.77,66,0.042,135
Norway,134.17,1.55,130,0.03,142,50.65,91,0.023,150
Oman,50.00,7.20,92,0.29,55,445.39,32,0.784,33
Pakistan,31.83,469.95,12,0.32,53,2394.93,5,0.743,34
Panama,95.33,8.80,84,0.29,56,16.26,128,0.060,124
Papua New Guinea,59.50,26.40,64,0.48,38,35.01,109,0.296,54
Paraguay,60.67,7.15,93,0.13,90,242.17,43,0.949,24
Peru,63.67,109.20,27,0.41,42,171.02,57,0.095,107
Philippines,31.17,643.35,9,0.79,20,736.31,26,0.293,56
Poland,66.50,52.20,47,0.14,86,859.00,20,0.162,80
Portugal,37.33,142.55,23,1.38,12,404.91,33,0.197,72
Qatar,175.50,0.00,173,0.00,173,0.00,178,0.000,178
Republic of Congo,117.83,8.95,83,0.28,57,0.35,170,0.002,170
Republic of Yemen,62.67,52.60,46,0.27,60,103.56,70,0.202,70
Romania,49.00,57.10,44,0.26,62,850.20,22,0.343,52
Russia,43.50,2962.40,3,2.04,6,1727.28,10,0.080,118
Rwanda,106.33,7.65,88,0.09,100,7.30,144,0.101,103
Samoa,74.50,0.35,153,0.20,70,15.99,130,1.905,12
Sao Tome and Principe,175.50,0.00,173,0.00,173,0.00,178,0.000,178
Saudi Arabia,109.83,16.10,71,0.07,112,116.77,68,0.023,148
Senegal,128.50,4.50,105,0.04,134,9.00,140,0.052,129
Serbia,99.17,2.80,120,0.03,147,193.56,51,0.228,65
Seychelles,160.83,0.00,173,0.00,173,0.46,168,0.034,139
Sierra Leone,118.17,8.05,87,0.17,77,0.57,166,0.017,151
Singapore,168.50,0.10,167,0.00,172,2.48,156,0.001,172
Slovak Republic,99.67,4.50,105,0.08,108,99.88,73,0.102,102
Slovenia,61.17,11.95,76,0.60,28,76.69,81,0.177,77
Solomon Islands,87.67,0.75,147,0.17,79,6.77,147,0.555,37
South Africa,85.67,62.25,43,0.14,85,212.91,47,0.054,127
Spain,48.50,704.70,8,1.67,9,783.73,23,0.071,121
